CATEGORY	BIBTEXKEY	author	title	year	publisher	address	pages	booktitle	editor	journal	volume	number	school	note	url
incollection	friedman2007	Friedman, Victor A.	The expression of speaker subjectivity in Lak (Daghestan)	2007	Peeters	Louvain/Paris/Dudley MA	351--376	L'Énonciation médiatisée II	Guentchéva, Zlatka and Landabaru, John	NA	NA	NA	NA	NA	NA
book	gadzhiakhmedov2000	Гаджиахмедов, Нурмагомед Э.	Словоизменительные категории имени и глагола в кумыкском языке [Nominal and verbal inflectional categories in Kumyk]	2000	Юпитер	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
phdthesis	gadzhieva2007	Гаджиева, Марьям Зубайровна	Фонетические и морфологические особенности тукитинского диалекта каратинского языка	2007	NA	NA	NA		NA	NA	NA	NA	Дагестанский государственный педагогический университет	NA	NA
unpublished	gadzhimagomedov2019	Гаджимагомедов, М. З.	Анчихский язык [Anchiq]	2019	NA	NA	NA		NA	NA	NA	NA	NA	manuscript	NA
incollection	ganenkov2008	Ганенков, Дмитрий С.	Морфологическая и семантическая характеристика падежей удинского языка [Morphological and semantic characteristics of Udi]	2008	Академия	Москва	11--53	Удинский сборник: грамматика, лексика, история языка [Udi. Grammar. Lexicon. History of the language]	Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.	NA	NA	NA	NA	NA	NA
article	ganenkovetal2009	Ганенков, Дмитрий С. and Майсак, Тимур А. and Мерданова, Солмаз Р.	Дискурсивная анафора в агульском языке	2009	Институт языкознания РАН	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	ganieva2002	Ганиева, Фаида А.	Хиналугско-русский словарь [Khinalug-Russian dictionary]	2002	ДНЦ РАН	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	gasanova1971	Гасанова, Саида М.	Очерки даргинской диалектологии [Essays on Dargwa dialectology]	1971	Институт истории, языка и литературы им. Г. Цадасы	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	gaydarovetal2009	Гайдаров, Р. И. and Гюльмагомедов, А. Г. and Мейланов, У. А. and Талибов, Б. Б.	Современный лезгинский язык [Modern Lezgian]	2009	Дагестанский научный центр Российской академии наук Институт языка, литературы и искусства им. Гамзата Цадасы	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	gimbatov2006	Гимбатов, М. М.	Аварско-русский словарь [Avar-Russian dictionary]	2006	ДНЦ РАН	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	griunberg1963	Грюнберг, Александр Л.	Язык североазербайджанских татов [The language of the Northern Azerbaijani Tats]	1963	Издательство академии наук СССР	Ленинград	NA		NA	NA	NA	NA	NA	NA	NA
book	gudava1962	Gudava, Togo E.	Botlixuri ena [The Botlikh language]	1962	Mecniereba	Tbilisi	NA		NA	NA	NA	NA	NA	NA	NA
incollection	gudava1967	Гудава, Того Е.	Ботлихский язык [Botlikh]	1967	Наука	Москва	293--306	Языки народов СССР. Том 4. Иберийско-кавказские языки [Languages of the peoples of USSR. Volume 4. Ibero-caucasian languages]	Бокарев, Евгений А. and Ломатидзе Кетеван	NA	NA	NA	NA	NA	NA
book	gukasyan1974	Гукасян, Ворошил	Удинско-азербайджанско-русский словарь [Udi-Azerbaijani-Russian dictionary]	1974	Элм	Баку	NA		NA	NA	NA	NA	NA	NA	NA
book	harris2002	Harris, Alice C.	Endoclitics and the origins of Udi morphosyntax	2002	Oxford University Press	Oxford	NA		NA	NA	NA	NA	NA	NA	NA
book	haspelmath1993	Haspelmath, Martin	A grammar of Lezgian	1993	Mouton de Gruyter	Berlin/New York	NA		NA	NA	NA	NA	NA	NA	NA
incollection	haspelmath1996	Haspelmath, Martin	Complement clauses	1996	Lincom Europa	Munich/Newcastle	174--196	Godoberi	Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander	NA	NA	NA	NA	NA	NA
book	hewitt1995	Hewitt, George	Georgian. A Structural Reference Grammar	1995	School of Oriental and African Studies, University of London	London	NA		NA	London Oriental and African Language Library	2	NA	University of London	NA	NA
book	hewitt2005	Hewitt, George	Georgian. A Learner's Grammar	2005	Routledge	London/New York	NA		NA	NA	NA	NA	NA	NA	NA
incollection	holiskygagua1994	Holisky, Dee Ann and Gagua, Rusudan	Tsova-Tush (Batsbi)	1994	Caravan Books	Delmar NY	147--212	The indigenous languages of the Caucasus. Volume 4. Part 2	Smeets, Riek	NA	NA	NA	NA	NA	NA
book	ibragimov1978	Ибрагимов, Гарун Х.	Рутульский язык [Rutul]	1978	Академия Наук СССР	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	ibragimov1990	Ибрагимов, Гарун Х.	Цахурский язык [Tsakhur language]	1990	Наука	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	ibragimov2004	Ибрагимов, Гарун Х.	Рутульский язык [Rutul]	2004	Народы Дагестана	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	ibragimovnurmamedov2010	Ибрагимов, Гарун Х. and Нурмамедов, Юнус М.	Цахурско-русский словарь [Tsakhur-Russian dictionary]	2010	Дагестанский Государственный Педагогический Университет	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	isaev2001	Исаев, Мамогед-Шапи А.	Русско-даргинский словарь [Russian-Dargwa dictionary]	2001	Институт истории, языка и литературы им. Г. Цадасы	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	isakovxalilov2001	Исаков, Исак А. and Халилов, Маджид Ш.	Гунзибско-русский словарь [Hunzib-Russian dictionary]	2001	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	isakovxalilov2012	Исаков, Исак А. and Халилов, Маджид Ш.	Гунзибский язык (Фонетика. Морфология. Словообразование. Лексика. Тексты) [Hunzib (Phonetics, Morphology, Word-Formation, Lexicon, Texts)]	2012	Институт истории, языка и литературы им. Г. Цадасы	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	ismailova2011	Исмаилова, Эминат И.	Русско-рутульский словарь [Russian-Rutul dictionary]	2011	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	jakovlev1960	Яковлев, Николай Ф.	Морфология чеченского языка [Chechen morphology]	1960	Издательство Академии наук СССР	Грозный	NA		NA	NA	NA	NA	NA	NA	NA
incollection	johanson2018	Johanson, Lars	Turkic indirectivity	2018	Oxford University Press	Oxford	510--524	The Oxford Handbook of Evidentiality	Aikhenvald, Alexandra Y.	NA	NA	NA	NA	NA	NA
incollection	kalinina1999	Калинина, Елена Ю.	Предложения с именным сказуемым [Clause with a nominal subject]	1999	Москва	Наследие	420--448	Элементы цахурского языка в типологическом освещении [Elements of Tsakhur grammar in a typological perspective]	Кибрик, Александр Е.	NA	NA	NA	NA	NA	NA
book	kalmykovasarueva1973	Калмыкова, Софья А. and Саруева, Мария Ф.	Грамматика ногайского языка [Nogai grammar]	1973	Ставропольское книжное издательство	Черкесск	NA		NA	NA	NA	NA	NA	NA	NA
book	kankava2001	Канкава,Михаил В.	Грузинско-русский словарь [Georgian-Russian dictionary]	2001	Сакартвелос мацие	Тбилиси	NA		NA	NA	NA	NA	NA	NA	NA
book	karasaevmaciev1978	Карасаев, Айсаш Т. and Мациев, Ахмет Г.	Русско-чеченский словарь [Russian-Chechen dictionary]	1978	Русский язык	Москва	NA		NA	NA	NA	NA	NA	NA	NA
unpublished	kayeetaldraft2020	Kaye, Stephen and Martynova, Aleksandra, and Moroz, George and Rochant, Neige and Verhees, Samira and Zakirova, Aigul	A sketch of Andi (Zilo dialect)	2020	De Gruyter Mouton	Berlin/New York	NA	The Caucasian Languages. An International Handbook	Koryakov, Yuri and Maisak, Timur	NA	NA	NA	NA	NA	NA
misc	kasplingua	NA	KaspLingua	2016	NA	NA	NA		NA	NA	NA	NA	NA	Accessed: 2021-12-17	NA
book	kazenin2013	Казенин, Константин И.	Синтаксис современного лакского языка [Syntax of contemporary Lak]	2013	ИЯЛИ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	kerimov1985	Керимов, Керим Р.	Глагол хиналугского языка [Verbs of Khinalug]	1985	Институт истории, языка и литературы им. Г. Цадасы	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	khajdakov1962	Хайдаков, Саид М.	Лакско-русский словарь [Lak-Russian dictionary]	1962	Государственное издательство иностранных и национальных словарей	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	khajdakov1966	Хайдаков, Саид М.	Очерки по лакской диалектологии [Sketches of Lak dialectology]	1966	Наука	Москва	NA		NA	NA	NA	NA	NA	NA	NA
phdthesis	khalilova2009	Khalilova, Zaira	A grammar of Khwarshi	2009	NA	NA	NA		NA	NA	NA	NA	University of Leiden	NA	NA
article	khalilova2011	Khalilova, Zaira	Evidentiality in Tsezic languages	2011	NA	NA	30--48		NA	Linguistic Discovery	9	2	NA	NA	NA
book	kibrik1977	Кибрик, Александр Е.	Опыт структурного описания арчинского языка. Том II. Таксономическая грамматика [Structural description of Archi. Volume II. Taxonomic grammar]	1977	Издательство Академии наук СССР	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	kibrik1977dict	Кибрик, Александр Е.	Арчинский язык. Тексты и словари [Archi. Texts and dictionaries]	1977	Издательство Академии наук СССР	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	kibrik1977dynamic	Кибрик, Александр Е.	Опыт структурного описания арчинского языка. Том III. Динамическая грамматика [Structural description of Archi. Volume III. Dynamic grammar]	1977	Издательство Академии наук СССР	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	kibrik1977vocphon	Кибрик, Александр Е. and Кодзасов, Сандро В. and Оловянникова Ирина П. and Самедов Д. С.	Опыт структурного описания арчинского языка. Том I. Лексика и фонетика [Structural description of Archi. Volume I. Vocabulary and phonetics]	1977	Издательство Московского университета	Москва	NA		NA	NA	NA	NA	NA	NA	NA
incollection	kibrik1985	Kibrik, Andrej A.	Absentiv-aorist und resultativ in der andischen Sprache	1985	Friedrich Schiller Universität	Jena	55--66	Sprachen Europas und Asiens	Fähnrich, Heinz	NA	NA	NA	NA	NA	NA
incollection	kibrik1994a	Kibrik, Aleksandr E.	Archi	1994	Caravan Press	Delmar, NY	297--365	The Indigenous Languages of the Caucasus. Vol. 4: The Northeast Caucasian Languages. Part 2	Smeets, Rieks	NA	NA	NA	NA	NA	NA
incollection	kibrik1994b	Kibrik, Aleksandr E.	Khinalug	1994	Caravan Press	Delmar, NY	367--406	The Indigenous Languages of the Caucasus. Vol. 4: The Northeast Caucasian Languages. Part 2	Smeets, Rieks	NA	NA	NA	NA	NA	NA
book	kibrik1999	Кибрик, Александр Е.	Элементы цахурского языка в типологическом освещении [Elements of Tsakhur grammar in a typological perspective]	1999	Москва	Наследие	NA		NA	NA	NA	NA	NA	NA	NA
incollection	kibrik1999sem	Кибрик, Александр Е.	Семантическая эргативность [Semantic ergativity]	1999	Москва	Наследие	347--353	Элементы цахурского языка в типологическом освещении [Elements of Tsakhur grammar in a typological perspective]	Кибрик, Александр Е.	NA	NA	NA	NA	NA	NA
book	kibrik2001	Кибрик, Александр Е. and Казенин, Константин И. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	Багвалинский язык. Грамматика, тексты, словари [The Bagvalal language. Grammar, texts, dictionary]	2001	Наследие	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	kibriketal1972	Кибрик, Александр Е. and Кодзасов, Сандро В. and Оловянникова, Ирина П.	Фрагменты грамматики хиналугского языка [Fragments of Khinalug grammar]	1972	Издательство Академии наук СССР	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	kibriketal1996	Kibrik, Alexandr and Tatevosov, Sergej and Eulenberg, Alexander	Godoberi	1996	Lincom Europa	Munich/Newcastle	NA		NA	NA	NA	NA	NA	NA	NA
chapter	tatevosov1996	Tatevosov, Sergej	Attributives	1996	Lincom Europa	Munich/Newcastle	20—35	Godoberi	NA	NA	NA	NA	NA	NA	NA
book	kibrikkodzasov1990	Кибрик, Александр Е. and Кодзасов, Сандро В.	Сопоставительное изучение дагестанских языков. Имя. Фонетика [A comparative study of Daghestanian languages. Noun. Phonetics]	1990	Издательство Академии наук СССР	Москва	NA		NA	NA	NA	NA	NA	NA	NA
incollection	kozhukhar2019	Kozhukhar, Aleksandra	The self-pronoun in Mehweb	2019	Language Science Press	Berlin	271--293	The Mehweb language. Essays on phonology, morphology and syntax	Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry	NA	NA	NA	NA	NA	NA
incollection	kozintseva2000	Kozintseva, Natalia A.	Perfect forms as a means of expressing evidentiality in Modern Eastern Armenian	2000	Mouton de Gruyter	Berlin/New York	401--418	Evidentials. Turkic, Iranian and neighbouring languages	Johanson, Lars and Utas, Bo	NA	NA	NA	NA	NA	NA
misc	kumyktil	NA	Къумукъ тил	2021	NA	NA	NA		NA	NA	NA	NA	NA	Accessed: 2021-12-17	NA
book	maciev1961	Мациев, Ахмет Г.	Чеченско-русский словарь [Chechen-Russian dictionary]	1961	Государственное издательство иностранных и национальных словарей	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	madieva1965	Мадиева, Гюльшахан И.	Грамматический очерк бежтинского языка [Grammatical profile of Bezhta]	1965	ДГУ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	magomedbekova1967	Магомедбекова, Загидат М.	Ахвахский язык [Akhvakh]	1967	Мецниереба	Тбилиси	NA		NA	NA	NA	NA	NA	NA	NA
book	magomedbekova1971	Магомедбекова, Загидат М.	Каратинский язык [Karata]	1971	Мецниереба	Тбилиси	NA		NA	NA	NA	NA	NA	NA	NA
incollection	magomedbekova1998	Магомедбекова, Загидат М.	Тиндинский язык [Tindi]	1998	Academia	Москва	25--32	Языки мира. Кавказские языки [Languages of the world. Caucasian languages]	Алексеев, Михаил Е. and др.	NA	NA	NA	NA	NA	NA
incollection	magomedbekova2001	Магомедбекова, Загидат М.	Ботлихский язык [Botlikh]	2001	Academia	Москва	228--236	Языки мира. Кавказские языки [Languages of the world. Caucasian languages]	Алексеев, Михаил Е. and др.	NA	NA	NA	NA	NA	NA
book	magomedova1999	Магомедова, Патимат Т.	Чамалинско-русский словарь [Chamalal-Russian dictionary]	1999	ИЯЛИ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	magomedova2003	Магомедова, Патимат Т.	Тиндинско-русский словарь [Tindi-Russian dictionary]	2003	ИЯЛИ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	magomedova2004	Магомедова, Патимат Т.	Багвалинско-русский словарь [Bagvalal-Russian dictionary]	2004	ИЯЛИ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	magomedova2012	Магомедова, Патимат Т.	Тиндинский язык [Tindi]	2012	ИЯЛИ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	magomedovaabdulaeva2007	Магомедова, Патимат Т. and Абдулаева, Индира А.	Ахвахско-русский словарь [Akhvakh-Russian dictionary]	2007	ИЯЛИ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	magomedovaxalidova2001	Магомедова, Патимат Т. and Халидова, Рашидат Ш.	Каратинско-русский словарь [Karata-Russian dictionary]	2001	ИЯЛИ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	magomedovsaidovakutta2017	Магомедов, Амирбек Д., Саидов-Акутта Набигулла И.	Кубачинско-русский словарь [Kubachi-Russian dictionary]	2017	Наука	Санкт-Петербург	NA		NA	NA	NA	NA	NA	NA	NA
book	magometov1963	Магометов, Александр А.	Кубачинский язык [Kubachi]	1963	Академия Наук Грузинской ССР	Тбилиси	NA		NA	NA	NA	NA	NA	NA	NA
book	magometov1965	Магометов, Александр А.	Табасаранский язык: исследование и тексты [Tabasaran: research and texts]	1965	Мецниереба	Тбилиси	NA		NA	NA	NA	NA	NA	NA	NA
book	magometov1970	Магометов, Александр А.	Агульский язык [Agul]	1970	Мецниереба	Тбилиси	NA		NA	NA	NA	NA	NA	NA	NA
book	magometov1982	Магометов, Александр А.	Мегебский диалект даргинского языка: исследование и тексты [Mehweb dialect of Dargwa: research and texts]	1982	Мецниереба	Тбилиси	NA		NA	NA	NA	NA	NA	NA	NA
misc	maisak2006	Майсак, Тимур А.	Краткий русско-удинский разговорник (Ниджский диалект) [Short Udi phrasebook (Nizh dialect)]	2006	NA	NA	NA		NA	NA	NA	NA	NA	Accessed: 2021-12-17	NA
incollection	maisak2008	Майсак, Тимур А.	Глагольная парадигма удинского языка (Ниджский диалект) [Verb paradigm in Udi (Nizh dialect)]	2008	Академия	Москва	96--161	Удинский сборник: грамматика, лексика, история языка [Udi. Grammar. Lexicon. History of the language]	Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.	NA	NA	NA	NA	NA	NA
book	maisak2014	Майсак, Тимур А.	Агульские тексты 1900-1960-х годов. [Agul texts of the 1900-1960s]	2014	Academia	Москва	NA		NA	NA	NA	NA	NA	NA	NA
incollection	maisak2016	Майсак, Тимур А.	Перфект и аорист в ниджском диалекте удинского языка [Perfect and aorist in the Nizh dialect of Udi]	2016	Наука	Санкт-Петербург	315--378	Типология перфекта	Майсак, Тимур А. and Плунгян, Владимир А. and Семёнова, Ксения П.	NA	NA	NA	NA	NA	NA
unpublished	maisak2016andi	Майсак, Тимур А.	Глагольная система рикванинского говора андийского языка: формообразование [The verbal system of the Rikvani dialect of Andi: inflection]	2016	Handout	NA	NA		NA	NA	NA	NA	NA	NA	NA
unpublished	maisak2017	Maisak, Timur	Tense and aspect among the factors conditioning the distribution of quotatives: data from Andi	2017	NA	NA	NA		NA	NA	NA	NA	NA	12th Conference of the Association for Linguistic Typology (ALT) Workshop ``Reported speech as a syntactic domain'' Canberra, 15 December 2017. Hand-out	NA
incollection	maisak2018	Maisak, Timur	The Aorist/Perfect distinction in Nizh Udi	2018	Brill	Leiden	120--165	The semantics of verbal categories in Nakh-Daghestanian languages	Forker, Diana and Maisak, Timur	NA	NA	NA	NA	NA	NA
misc	maisak2020	Maisak, Timur	Affixal, phrasal and clausal caritives in Nakh-Daghestanian	2020	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA
incollection	maisak2021	Maisak, Timur	Structural and functional variations of the perfect in Lezgic languages	2021	John Benjamins	Amsterdam	88--115	The perfect volume	Eide, Kristin Melum and Fryd, Marc	NA	NA	NA	NA	NA	NA
incollection	maisakchumakina2001	Майсак, Тимур А. and Чумакина, Марина Э.	Дискурсивные частицы [Discursive particles]	2001	Наследие	Москва	702--723	Багвалинский язык. Грамматика, тексты, словари [The Bagvalal language. Grammar, texts, dictionaries]	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	NA	NA	NA	NA	NA	NA
incollection	maisakganenkov2016	Maisak, Timur and Ganenkov, Dmitry	Aghul	2016	De Gruyter Mouton	Berlin/Boston	3579--3594	Word-Formation. An International Handbook of the Languages of Europe. Volume 5	Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz	NA	NA	NA	NA	NA	NA
article	maisakmerdanova2002	Майсак, Тимур А. and Мерданова, Солмаз Р.	Категория эвиденциальности в агульском языке [The category of evidentiality in Agul]	2002	NA	NA	102--112		NA	Кавказоведение	NA	1	NA	NA	NA
book	maisakmerdanova2002b	Майсак, Тимур А. and Мерданова, Солмаз Р.	Глагольная система хпюкского говора агульского языка [Verb system of Huppuk Agul]	2002	Manuscript	NA	NA		NA	NA	NA	NA	NA	NA	http://www.lingvarium.org/maisak/publ/Maisak_Merdanova-2002-verb.pdf
incollection	maisakmerdanova2016	Майсак, Тимур А. and Мерданова, Солмаз Р.	Перфект и смежные значения в агульском языке [The perfect and adjacent meanings in Agul]	2016	Наука	Санкт-Петербург	379--422	Типология перфекта [Typology of the perfect]	Майсак, Тимур А. and Плунгян, Владимир А. and Семёнова, Ксения П.	NA	NA	NA	NA	NA	NA
article	maisaktatevosov1998	Майсак, Тимур А. and Татевосов, Сергей Г.	Кодирование эпистемического статуса средствами морфосинтаксиса [Encoding of epistemic status with morphosyntactic means]	1998	NA	NA	60--88		NA	Вопросы языкознания	NA	1	NA	NA	NA
incollection	maisaktatevosov2001	Майсак, Тимур А. and Татевосов, Сергей Г.	Эвиденциальность [Evidentiality]	2001	Наследие	Москва	293--318	Багвалинский язык. Грамматика, тексты, словари [The Bagvalal language. Grammar, texts, dictionaries]	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	NA	NA	NA	NA	NA	NA
incollection	maisaktatevosov2007	Maisak, Timur and Tatevosov, Sergei	Beyond evidentiality and mirativity. Evidence from Tsakhur	2007	Peeters	Louvain/Paris/Dudley MA	377--406	L'Énonciation médiatisée II	Guentchéva, Zlatka and Landabaru, John	NA	NA	NA	NA	NA	NA
book	mallaeva2007	Маллаева, Зулайхат М.	Глагол аварского языка: структура, семантика, функции [The verb in Avar: structure, semantics, functions]	2007	ИЯЛИ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
phdthesis	maxmudova2002	Махмудова, Светлана М.	Грамматические классы слов и грамматические категории рутульского языка [Grammatical word classes and grammatical categories of Rutul]	2002	NA	NA	NA		NA	NA	NA	NA	ДГУ	NA	NA
book	mejlanova1984	Мейланова, Унеизат А.	Будухско-русский словарь [Budukh-Russian dictionary]	1984	Наука	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	merdanova2004	Мерданова, Солмаз Р.	Морфология и грамматическая семантика агульского языка (на материале хпюкского говора) [Morphology and grammatical semantics of Agul language based on Khpyuk dialect]	2004	РАН ИЯ	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	mikailov1967	Микайлов, Казбек Ш.	Арчинский язык [Archi]	1967	ИЯЛИ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	mobili2010	Мобили, Роберт Б.	Удинско-азербайджанско-русский словарь [Udi-Azerbaijani-Russian dictionary]	2010	Леман	Баку	NA		NA	NA	NA	NA	NA	NA	NA
unpublished	molochieva2007	Molochieva, Zarina	Category of evidentiality and mirativity in Chechen	2007	NA	NA	NA		NA	NA	NA	NA	NA	Conference on the Languages of the Caucasus, 7-9.12.2007, Max Planck Institute EVA, Leipzig. Hand-out	NA
phdthesis	molochieva2010	Molochieva, Zarina	Tense, aspect and mood in Chechen	2010	NA	NA	NA		NA	NA	NA	NA	Universität Leipzig	NA	NA
incollection	moroz2019	Moroz, George	Phonology of Mehweb	2019	Language Science Press	Berlin	17--37	The Mehweb language. Essays on phonology, morphology and syntax	Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry	NA	NA	NA	NA	NA	NA
unpublished	morozetaldraft2021	Moroz, George and Naccarato, Chiara and Verhees, Samira	Godoberi	2021	De Gruyter Mouton	Berlin/New York	NA	The Caucasian Languages. An International Handbook	Koryakov, Yuri and Maisak, Timur	NA	NA	NA	NA	NA	NA
book	musaev2002	Мусаев, Магомед-Саид М.	Даргинский язык [The Dargwa language]	2002	Академия	Москва	NA		NA	NA	NA	NA	ДГУ	NA	NA
book	musaev2018	Мусаев, Кенесбай М.	Ногайско-русский словарь [Nogai-Russian dictionary]	2018	Наука	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	mutalov2002	Муталов, Расул О.	Глагол Даргинского языка [The verb in Dargwa]	2002	Издательско-полигрофический центр ДГУ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
incollection	mutalov2018	Mutalov, Rasul	The tense/aspect system of Standard Dargwa	2018	Brill	Leiden	49--79	The semantics of verbal categories in Nakh-Daghestanian languages	Forker, Diana and Maisak, Timur	NA	NA	NA	NA	NA	NA
book	naftaliev2016	Нафталиев, Мардахай Н.	Еврейско (джуури)-русский словарь [Juhuri-Russian dictionary]	2016	СТМЭГИ	Москва	NA		NA	NA	NA	NA	NA	NA	NA
incollection	nichols1994	Nichols, Johanna	Chechen	1994	Caravan Press	Delmar, NY	1--77	The Indigenous Languages of the Caucasus, vol. 4: The Northeast Caucasian Languages, Part 2	Smeets, Rieks	NA	NA	NA	NA	NA	NA
incollection	nichols1994ingush	Nichols, Johanna	Ingush	1994	Caravan Press	Delmar, NY	79--145	The Indigenous Languages of the Caucasus, vol. 4: The Northeast Caucasian Languages, Part 2	Smeets, Rieks	NA	NA	NA	NA	NA	NA
book	nichols2011	Nichols, Johanna	Ingush grammar	2011	University of California Press	Berkeley/Los Angeles	NA		NA	NA	NA	NA	NA	NA	NA
misc	nicholssite	Nichols, Johanna	Useful phrases in Ingush	2021	University of California Press	Berkeley/Los Angeles	NA		NA	NA	NA	NA	NA	Accessed: 2021-12-17	NA
misc	omniglotGM	Ager, Simon	Good morning in many languages	2021	NA	NA	NA		NA	NA	NA	NA	NA	Accessed: 2021-12-17	NA
mastersthesis	pasquereau2010	Pasquereau, Jérémy	Formes spatiales des noms en karata: emplois spatiaux et non-spatiaux	2010	NA	NA	NA		NA	NA	NA	NA	Université Lumière Lyon II	NA	NA
unpublished	pasquereaudraft2020	Pasquereau, Jérémy	Karata	2020	De Gruyter Mouton	Berlin/New York	NA	The Caucasian Languages. An International Handbook	Koryakov, Yuri and Maisak, Timur	NA	NA	NA	NA	NA	NA
unpublished	polinskydraft2015	Polinsky, Maria	Tsez Syntax: A Description	2015	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA
article	ramattopadze2007	Giacalone Ramat, Anna and Topadze, Manana	The coding of evidentiality: a comparative look at Georgian and Italian.	2007	NA	NA	7--38		NA	Rivista di Linguistica	19	1	NA	NA	NA
book	ramazanov2010	Рамазанов, Муслим Р.	Агульско-русский словарь [Agul-Russian dictionary]	2010	Лотос	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
incollection	saadiev1994	Saadiev, Sh. M.	Kryts	1994	Caravan Press	Delmar, NY	407--446	The Indigenous Languages of the Caucasus. Vol. 4: The Northeast Caucasian Languages. Part 2	Smeets, Rieks	NA	NA	NA	NA	NA	NA
book	saidova1973	Саидова, Патимат А.	Годоберинский язык. Грамматический очерк, тексты, словарь [Godoberi. Grammar, texts, dictionary]	1973	ИЯЛИ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
incollection	saidova2001	Саидова, Патимат А.	Ботлихский язык [Botlikh]	2001	Academia	Москва	222--228	Языки Российской Федерации и соседних государств. Энциклопедия в трех томах [The languages of Russia and adjacent states. Encyclopaedia in three volumes]	NA	NA	NA	NA	NA	NA	NA
book	saidova2006	Саидова, Патимат А.	Годоберинско-русский словарь [Godoberi-Russian dictionary]	2006	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	saidova2007	Саидова, Патимат А.	Закатальский диалект аварского языка [The Zaqatala dialect of Avar]	2007	ИЯЛИ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	saidova2008	Саидова, Патимат А.	Диалектологический словарь аварского языка [Avar dialect dictionary]	2008	Наука	Санкт-Петербург	NA		NA	NA	NA	NA	NA	NA	NA
book	saidovaabusov2012	Саидова, Патимат А. and Абусов, Магомед Г.	Ботлихско-русский словарь [Botlikh-Russian dictionary]	2012	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	salimov2010	Салимов, Хангерей Саидович	Гагатлинский говор андийского языка [The Gagatli dialect of Andi]	2010	ИЯЛИ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
